127.0.0.1 - - [29/Oct/2022:11:31:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:31:42 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:31:42 +0530] "GET /javapackage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:31:43 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:34:42 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:34:45 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:52:18 +0530] "GET /javapackage/index.html HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:52:18 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:53:29 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:53:29 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:54:07 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:54:07 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:57:30 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:57:30 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:58:44 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:58:44 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:59:08 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:59:38 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:59:38 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:59:41 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:11:59:41 +0530] "GET /javapackage/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:00:48 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:00:48 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:01:11 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:01:40 +0530] "GET /javapackage/style1.css HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:03:25 +0530] "POST /javapackage/compose HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:03:25 +0530] "GET /javapackage/style2.css HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:05:29 +0530] "POST /javapackage/compose HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:05:35 +0530] "GET /javapackage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:05:36 +0530] "GET /javapackage/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2022:12:05:58 +0530] "POST /javapackage/compose HTTP/1.1" 200 2249
